b0,b1,b2,b3,b4,b5,Equation
806.1805717,-3674.059036,7301.272278,-8526.671428,5966.826922,-1887.168518,7301.0*x^2 - 3674.0*x - 8527.0*x^3 + 5967.0*x^4 - 1887.0*x^5 + 806.2
765.5567783,-3648.893793,8461.538146,-12683.02465,11300.92124,-4267.185982,8462.0*x^2 - 3649.0*x - 12680.0*x^3 + 11300.0*x^4 - 4267.0*x^5 + 765.6
581.1669387,-1558.533627,-18.65842966,3633.752439,-3920.439972,1290.222822,3634.0*x^3 - 18.66*x^2 - 1559.0*x - 3920.0*x^4 + 1290.0*x^5 + 581.2
915.3791063,-4574.565866,10269.77803,-13549.25889,10346.10272,-3447.297392,10270.0*x^2 - 4575.0*x - 13550.0*x^3 + 10350.0*x^4 - 3447.0*x^5 + 915.4
659.3137604,-2518.969026,3887.919588,-3609.081692,2435.115889,-861.2824099,3888.0*x^2 - 2519.0*x - 3609.0*x^3 + 2435.0*x^4 - 861.3*x^5 + 659.3
636.0987554,-2076.955384,1682.20478,1097.800106,-2188.803601,864.7594202,1682.0*x^2 - 2077.0*x + 1098.0*x^3 - 2189.0*x^4 + 864.8*x^5 + 636.1
777.9744707,-2994.945792,3254.842769,1555.436519,-5384.9168,2886.055929,3255.0*x^2 - 2995.0*x + 1555.0*x^3 - 5385.0*x^4 + 2886.0*x^5 + 778.0
704.1590491,-3189.859273,7073.275747,-10427.96379,9307.892934,-3520.393747,7073.0*x^2 - 3190.0*x - 10430.0*x^3 + 9308.0*x^4 - 3520.0*x^5 + 704.2
668.4197944,-2231.071427,1440.353713,3206.356478,-5598.554889,2585.307515,1440.0*x^2 - 2231.0*x + 3206.0*x^3 - 5599.0*x^4 + 2585.0*x^5 + 668.4
628.0946753,-2491.476029,4502.383834,-5555.190197,4594.389938,-1691.906771,4502.0*x^2 - 2491.0*x - 5555.0*x^3 + 4594.0*x^4 - 1692.0*x^5 + 628.1
863.7499194,-4124.298937,8493.518327,-9763.030695,6249.228553,-1712.051821,8494.0*x^2 - 4124.0*x - 9763.0*x^3 + 6249.0*x^4 - 1712.0*x^5 + 863.7
704.9014183,-2127.585027,-273.8804347,8172.372223,-11278.79665,4911.940959,8172.0*x^3 - 273.9*x^2 - 2128.0*x - 11280.0*x^4 + 4912.0*x^5 + 704.9
790.6155318,-3707.94111,7970.24449,-10519.36165,8292.778635,-2858.335578,7970.0*x^2 - 3708.0*x - 10520.0*x^3 + 8293.0*x^4 - 2858.0*x^5 + 790.6
655.5623194,-2689.486041,5135.27888,-6747.148011,5842.370707,-2226.769127,5135.0*x^2 - 2689.0*x - 6747.0*x^3 + 5842.0*x^4 - 2227.0*x^5 + 655.6
841.7932286,-4156.944467,9747.673128,-14322.00194,12421.11677,-4611.243074,9748.0*x^2 - 4157.0*x - 14320.0*x^3 + 12420.0*x^4 - 4611.0*x^5 + 841.8
883.3132158,-4557.004103,11203.06834,-16904.42375,14685.30813,-5399.406178,11200.0*x^2 - 4557.0*x - 16900.0*x^3 + 14690.0*x^4 - 5399.0*x^5 + 883.3
804.2602064,-3333.33941,4953.942845,-2486.500539,-853.3963142,962.0683267,4954.0*x^2 - 3333.0*x - 2487.0*x^3 - 853.4*x^4 + 962.1*x^5 + 804.3
663.5163766,-1987.001282,-122.3228698,7101.377213,-9904.319831,4354.362409,7101.0*x^3 - 122.3*x^2 - 1987.0*x - 9904.0*x^4 + 4354.0*x^5 + 663.5
871.6948445,-4009.353868,7469.107846,-6982.4235,3066.53504,-381.0628163,7469.0*x^2 - 4009.0*x - 6982.0*x^3 + 3067.0*x^4 - 381.1*x^5 + 871.7
531.9514646,-1414.81549,672.7545397,373.6602393,521.6440175,-721.4459831,672.8*x^2 - 1415.0*x + 373.7*x^3 + 521.6*x^4 - 721.4*x^5 + 532.0
588.4324762,-1423.210151,-1358.872481,7592.129936,-8747.340884,3406.280858,7592.0*x^3 - 1359.0*x^2 - 1423.0*x - 8747.0*x^4 + 3406.0*x^5 + 588.4
658.3381376,-2378.176602,2928.367,-1169.503315,-283.9985326,260.2216537,2928.0*x^2 - 2378.0*x - 1170.0*x^3 - 284.0*x^4 + 260.2*x^5 + 658.3
901.6821085,-4383.53764,9375.176586,-11629.64249,8397.365855,-2687.452013,9375.0*x^2 - 4384.0*x - 11630.0*x^3 + 8397.0*x^4 - 2687.0*x^5 + 901.7
731.9195896,-3401.133763,7641.355422,-11106.96305,9649.99402,-3565.349463,7641.0*x^2 - 3401.0*x - 11110.0*x^3 + 9650.0*x^4 - 3565.0*x^5 + 731.9
707.7468828,-2991.316243,5855.227744,-7850.317902,6983.632214,-2759.467642,5855.0*x^2 - 2991.0*x - 7850.0*x^3 + 6984.0*x^4 - 2759.0*x^5 + 707.7
819.3005749,-3500.410611,5626.582955,-3771.802883,334.6465812,533.3454075,5627.0*x^2 - 3500.0*x - 3772.0*x^3 + 334.6*x^4 + 533.3*x^5 + 819.3
559.1477174,-1592.211214,1014.506472,246.9026133,285.4698241,-545.3918395,1015.0*x^2 - 1592.0*x + 246.9*x^3 + 285.5*x^4 - 545.4*x^5 + 559.1
527.2295177,-1485.182935,1127.182341,-465.9748638,1077.621711,-805.11194,1127.0*x^2 - 1485.0*x - 466.0*x^3 + 1078.0*x^4 - 805.1*x^5 + 527.2
738.5034507,-2808.867105,3566.960586,-1107.348155,-1048.901346,678.9132506,3567.0*x^2 - 2809.0*x - 1107.0*x^3 - 1049.0*x^4 + 678.9*x^5 + 738.5
706.5748642,-2106.009454,-449.8949804,8603.851812,-11722.20858,5078.023648,8604.0*x^3 - 449.9*x^2 - 2106.0*x - 11720.0*x^4 + 5078.0*x^5 + 706.6
824.4577302,-4160.38972,10088.63694,-15135.68384,13079.13967,-4766.4054,10090.0*x^2 - 4160.0*x - 15140.0*x^3 + 13080.0*x^4 - 4766.0*x^5 + 824.5
666.9846137,-2172.685131,1196.622334,3524.946138,-5675.508538,2520.981257,1197.0*x^2 - 2173.0*x + 3525.0*x^3 - 5676.0*x^4 + 2521.0*x^5 + 667.0
594.4952462,-2021.884687,2710.859682,-2772.602524,2806.689945,-1350.928233,2711.0*x^2 - 2022.0*x - 2773.0*x^3 + 2807.0*x^4 - 1351.0*x^5 + 594.5
706.0096941,-2248.893129,622.2851054,5718.289837,-8367.138961,3647.785795,622.3*x^2 - 2249.0*x + 5718.0*x^3 - 8367.0*x^4 + 3648.0*x^5 + 706.0
879.8403536,-4092.641678,7922.022277,-8221.988791,4629.0032,-1104.781046,7922.0*x^2 - 4093.0*x - 8222.0*x^3 + 4629.0*x^4 - 1105.0*x^5 + 879.8
712.7852281,-2985.791899,5712.262208,-7479.158474,6623.612612,-2639.103611,5712.0*x^2 - 2986.0*x - 7479.0*x^3 + 6624.0*x^4 - 2639.0*x^5 + 712.8
619.9096271,-2219.842599,3238.703935,-3374.155477,3068.595757,-1363.453634,3239.0*x^2 - 2220.0*x - 3374.0*x^3 + 3069.0*x^4 - 1363.0*x^5 + 619.9
879.4525234,-4588.61225,11531.23314,-17818.45333,15738.86101,-5840.644565,11530.0*x^2 - 4589.0*x - 17820.0*x^3 + 15740.0*x^4 - 5841.0*x^5 + 879.5
656.7038253,-1918.974203,-125.7796647,6355.049606,-8416.513264,3520.178139,6355.0*x^3 - 125.8*x^2 - 1919.0*x - 8417.0*x^4 + 3520.0*x^5 + 656.7
740.0610293,-2453.051286,1027.289796,5448.497062,-8413.0902,3730.3088,1027.0*x^2 - 2453.0*x + 5448.0*x^3 - 8413.0*x^4 + 3730.0*x^5 + 740.1
666.0623786,-2581.617887,4203.043308,-4445.734234,3478.119458,-1341.658445,4203.0*x^2 - 2582.0*x - 4446.0*x^3 + 3478.0*x^4 - 1342.0*x^5 + 666.1
723.1799752,-3210.11601,6511.531402,-8277.084447,6440.225678,-2206.140385,6512.0*x^2 - 3210.0*x - 8277.0*x^3 + 6440.0*x^4 - 2206.0*x^5 + 723.2
